Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
20 63846 0 1 1 5 2 J 1 1 1 360 
20 63846 0 1 2 8 2 J 1 1 1 640 
20 63846 0 1 3 2 1 F 0 0 1 441 
20 63846 0 1 4 8 2 J 1 1 1 531 
20 63846 0 1 5 5 2 F 0 1 0 475 
20 63846 0 1 6 8 2 J 1 1 1 167 
20 63846 0 1 7 2 2 J 1 1 1 407 
20 63846 0 1 8 8 2 F 0 1 0 545 
20 63846 0 1 9 2 2 J 1 1 1 583 
20 63846 0 1 10 5 2 J 1 1 1 332 
20 63846 0 1 11 5 2 J 1 1 1 587 
20 63846 0 1 12 5 1 J 1 0 0 199 
20 63846 0 1 13 5 2 J 1 1 1 580 
20 63846 0 1 14 2 1 F 0 0 1 455 
20 63846 0 1 15 8 2 J 1 1 1 464 
20 63846 0 1 16 5 1 J 1 0 0 532 
20 63846 0 1 17 8 2 J 1 1 1 360 
20 63846 0 1 18 2 2 J 1 1 1 343 
20 63846 0 1 19 2 2 J 1 1 1 413 
20 63846 0 1 20 8 2 J 1 1 1 361 
20 63846 0 1 21 2 2 J 1 1 1 407 
20 63846 0 1 22 5 1 J 1 0 0 269 
20 63846 0 1 23 5 2 J 1 1 1 433 
20 63846 0 1 24 8 1 F 0 0 1 567 
20 63846 0 1 25 2 2 J 1 1 1 359 
20 63846 0 1 26 5 2 J 1 1 1 685 
20 63846 0 1 27 2 2 J 1 1 1 448 
20 63846 0 1 28 8 2 J 1 1 1 471 
20 63846 0 1 29 8 2 J 1 1 1 569 
20 63846 0 1 30 5 2 J 1 1 1 195 
20 63846 0 1 31 2 2 J 1 1 1 374 
20 63846 0 1 32 5 2 J 1 1 1 450 
20 63846 0 1 33 8 1 J 1 0 0 503 
20 63846 0 1 34 5 2 J 1 1 1 405 
20 63846 0 1 35 2 2 J 1 1 1 374 
20 63846 0 1 36 2 2 J 1 1 1 360 
20 63846 0 1 37 2 2 J 1 1 1 412 
20 63846 0 1 38 5 2 J 1 1 1 301 
20 63846 0 1 39 8 2 J 1 1 1 279 
20 63846 0 1 40 2 1 F 0 0 1 485 
20 63846 0 1 41 8 2 J 1 1 1 358 
20 63846 0 1 42 5 2 J 1 1 1 424 
20 63846 0 1 43 8 2 J 1 1 1 374 
20 63846 0 1 44 8 2 J 1 1 1 144 
20 63846 0 1 45 2 2 J 1 1 1 328 
20 63846 0 1 46 8 2 J 1 1 1 298 
20 63846 0 1 47 8 2 J 1 1 1 590 
20 63846 0 1 48 2 2 J 1 1 1 344 
20 63846 0 1 49 8 2 J 1 1 1 536 
20 63846 0 1 50 5 2 J 1 1 1 149 
20 63846 0 1 51 2 2 J 1 1 1 448 
20 63846 0 1 52 5 2 J 1 1 1 899 
20 63846 0 1 53 2 2 J 1 1 1 327 
20 63846 0 1 54 2 2 J 1 1 1 358 
20 63846 0 1 55 5 2 J 1 1 1 443 
20 63846 0 1 56 5 2 J 1 1 1 417 
20 63846 0 1 57 8 2 J 1 1 1 366 
20 63846 0 1 58 5 2 J 1 1 1 116 
20 63846 0 1 59 2 2 J 1 1 1 103 
20 63846 0 1 60 8 1 J 1 0 0 38 
20 63846 4 2 1 5 1 F 0 0 1 217 
20 63846 4 2 2 5 1 F 0 0 1 425 
20 63846 4 2 3 2 1 F 0 0 1 343 
20 63846 4 2 4 2 2 F 0 1 0 520 
20 63846 4 2 5 8 1 J 1 0 0 554 
20 63846 4 2 6 2 1 F 0 0 1 495 
20 63846 4 2 7 2 1 F 0 0 1 584 
20 63846 4 2 8 5 1 F 0 0 1 593 
20 63846 4 2 9 8 1 F 0 0 1 278 
20 63846 4 2 10 8 1 F 0 0 1 330 
20 63846 4 2 11 8 2 F 0 1 0 2776 
20 63846 4 2 12 8 1 F 0 0 1 3150 
20 63846 4 2 13 2 1 F 0 0 1 103 
20 63846 4 2 14 5 1 F 0 0 1 10 
20 63846 4 2 15 5 2 F 0 1 0 210 
20 63846 4 2 16 5 1 F 0 0 1 925 
20 63846 4 2 17 8 1 F 0 0 1 838 
20 63846 4 2 18 2 1 F 0 0 1 225 
20 63846 4 2 19 5 1 F 0 0 1 109 
20 63846 4 2 20 5 1 F 0 0 1 996 
20 63846 4 2 21 5 1 F 0 0 1 3714 
20 63846 4 2 22 2 1 F 0 0 1 318 
20 63846 4 2 23 2 1 F 0 0 1 663 
20 63846 4 2 24 8 1 F 0 0 1 22 
20 63846 4 2 25 8 2 F 0 1 0 2183 
20 63846 4 2 26 8 1 F 0 0 1 123 
20 63846 4 2 27 2 1 F 0 0 1 1352 
20 63846 4 2 28 5 2 F 0 1 0 201 
20 63846 4 2 29 2 1 F 0 0 1 230 
20 63846 4 2 30 8 1 F 0 0 1 135 
20 63846 4 2 31 5 1 F 0 0 1 371 
20 63846 4 2 32 8 2 F 0 1 0 433 
20 63846 4 2 33 2 1 F 0 0 1 446 
20 63846 4 2 34 8 1 F 0 0 1 1073 
20 63846 4 2 35 5 1 F 0 0 1 76 
20 63846 4 2 36 8 1 F 0 0 1 519 
20 63846 4 2 37 2 1 F 0 0 1 278 
20 63846 4 2 38 8 1 F 0 0 1 922 
20 63846 4 2 39 2 1 F 0 0 1 310 
20 63846 4 2 40 5 1 F 0 0 1 658 
20 63846 4 2 41 2 1 F 0 0 1 270 
20 63846 4 2 42 8 1 F 0 0 1 1 
20 63846 4 2 43 8 1 F 0 0 1 9 
20 63846 4 2 44 2 1 F 0 0 1 117 
20 63846 4 2 45 5 1 F 0 0 1 418 
20 63846 4 2 46 8 1 F 0 0 1 64 
20 63846 4 2 47 5 2 F 0 1 0 181 
20 63846 4 2 48 2 1 F 0 0 1 149 
20 63846 4 2 49 5 1 F 0 0 1 193 
20 63846 4 2 50 5 1 F 0 0 1 172 
20 63846 4 2 51 2 2 F 0 1 0 8 
20 63846 4 2 52 2 1 F 0 0 1 17 
20 63846 4 2 53 5 1 F 0 0 1 306 
20 63846 4 2 54 8 1 F 0 0 1 152 
20 63846 4 2 55 8 1 F 0 0 1 239 
20 63846 4 2 56 5 1 F 0 0 1 141 
20 63846 4 2 57 5 1 F 0 0 1 210 
20 63846 4 2 58 2 1 F 0 0 1 183 
20 63846 4 2 59 2 2 F 0 1 0 7 
20 63846 4 2 60 8 1 F 0 0 1 439 
20 63846 3 3 1 2 1 F 0 0 1 687 
20 63846 3 3 2 5 1 F 0 0 1 448 
20 63846 3 3 3 8 1 F 0 0 1 298 
20 63846 3 3 4 8 2 F 0 1 0 43 
20 63846 3 3 5 8 2 F 0 1 0 33 
20 63846 3 3 6 5 2 F 0 1 0 117 
20 63846 3 3 7 5 2 F 0 1 0 426 
20 63846 3 3 8 8 1 J 1 0 0 694 
20 63846 3 3 9 5 1 J 1 0 0 103 
20 63846 3 3 10 5 1 F 0 0 1 333 
20 63846 3 3 11 2 1 F 0 0 1 567 
20 63846 3 3 12 8 2 F 0 1 0 622 
20 63846 3 3 13 2 1 F 0 0 1 463 
20 63846 3 3 14 8 1 F 0 0 1 689 
20 63846 3 3 15 2 1 F 0 0 1 575 
20 63846 3 3 16 5 1 F 0 0 1 675 
20 63846 3 3 17 5 1 F 0 0 1 597 
20 63846 3 3 18 2 2 J 1 1 1 544 
20 63846 3 3 19 2 2 J 1 1 1 367 
20 63846 3 3 20 5 1 F 0 0 1 641 
20 63846 3 3 21 8 1 F 0 0 1 481 
20 63846 3 3 22 8 1 F 0 0 1 338 
20 63846 3 3 23 2 2 F 0 1 0 351 
20 63846 3 3 24 5 1 F 0 0 1 458 
20 63846 3 3 25 8 1 F 0 0 1 782 
20 63846 3 3 26 2 2 J 1 1 1 528 
20 63846 3 3 27 8 1 F 0 0 1 543 
20 63846 3 3 28 5 1 J 1 0 0 658 
20 63846 3 3 29 8 1 F 0 0 1 241 
20 63846 3 3 30 2 1 F 0 0 1 551 
20 63846 3 3 31 2 1 F 0 0 1 397 
20 63846 3 3 32 8 1 F 0 0 1 400 
20 63846 3 3 33 2 2 J 1 1 1 552 
20 63846 3 3 34 5 1 J 1 0 0 526 
20 63846 3 3 35 8 2 J 1 1 1 577 
20 63846 3 3 36 8 2 J 1 1 1 626 
20 63846 3 3 37 8 1 F 0 0 1 449 
20 63846 3 3 38 5 1 J 1 0 0 470 
20 63846 3 3 39 8 1 J 1 0 0 210 
20 63846 3 3 40 5 1 F 0 0 1 627 
20 63846 3 3 41 5 2 F 0 1 0 435 
20 63846 3 3 42 5 1 F 0 0 1 523 
20 63846 3 3 43 2 1 F 0 0 1 439 
20 63846 3 3 44 2 1 F 0 0 1 631 
20 63846 3 3 45 5 2 F 0 1 0 522 
20 63846 3 3 46 8 1 F 0 0 1 317 
20 63846 3 3 47 2 1 F 0 0 1 329 
20 63846 3 3 48 8 2 F 0 1 0 288 
20 63846 3 3 49 8 1 F 0 0 1 301 
20 63846 3 3 50 2 1 J 1 0 0 383 
20 63846 3 3 51 5 1 F 0 0 1 308 
20 63846 3 3 52 2 2 J 1 1 1 1222 
20 63846 3 3 53 2 1 F 0 0 1 407 
20 63846 3 3 54 2 1 F 0 0 1 382 
20 63846 3 3 55 5 2 J 1 1 1 564 
20 63846 3 3 56 2 1 F 0 0 1 343 
20 63846 3 3 57 5 2 F 0 1 0 476 
20 63846 3 3 58 8 1 J 1 0 0 262 
20 63846 3 3 59 5 1 F 0 0 1 276 
20 63846 3 3 60 2 1 F 0 0 1 689 
20 63846 1 4 1 8 2 J 1 1 1 406 
20 63846 1 4 2 2 2 J 1 1 1 321 
20 63846 1 4 3 5 1 F 0 0 1 1126 
20 63846 1 4 4 2 1 F 0 0 1 509 
20 63846 1 4 5 2 1 F 0 0 1 447 
20 63846 1 4 6 2 2 J 1 1 1 519 
20 63846 1 4 7 5 2 F 0 1 0 881 
20 63846 1 4 8 2 2 J 1 1 1 360 
20 63846 1 4 9 2 2 J 1 1 1 431 
20 63846 1 4 10 8 2 J 1 1 1 637 
20 63846 1 4 11 2 1 F 0 0 1 513 
20 63846 1 4 12 8 1 J 1 0 0 564 
20 63846 1 4 13 2 2 J 1 1 1 447 
20 63846 1 4 14 5 2 J 1 1 1 361 
20 63846 1 4 15 5 2 J 1 1 1 452 
20 63846 1 4 16 5 2 J 1 1 1 186 
20 63846 1 4 17 5 2 J 1 1 1 436 
20 63846 1 4 18 8 2 J 1 1 1 410 
20 63846 1 4 19 2 2 J 1 1 1 359 
20 63846 1 4 20 8 1 J 1 0 0 494 
20 63846 1 4 21 8 2 J 1 1 1 553 
20 63846 1 4 22 2 2 J 1 1 1 462 
20 63846 1 4 23 8 2 J 1 1 1 423 
20 63846 1 4 24 5 2 J 1 1 1 246 
20 63846 1 4 25 2 2 J 1 1 1 361 
20 63846 1 4 26 2 1 F 0 0 1 1061 
20 63846 1 4 27 5 2 J 1 1 1 700 
20 63846 1 4 28 2 2 J 1 1 1 439 
20 63846 1 4 29 8 2 J 1 1 1 412 
20 63846 1 4 30 8 2 J 1 1 1 490 
20 63846 1 4 31 5 2 J 1 1 1 487 
20 63846 1 4 32 5 1 F 0 0 1 958 
20 63846 1 4 33 2 1 F 0 0 1 846 
20 63846 1 4 34 2 2 J 1 1 1 535 
20 63846 1 4 35 8 1 J 1 0 0 403 
20 63846 1 4 36 8 2 J 1 1 1 706 
20 63846 1 4 37 8 1 J 1 0 0 635 
20 63846 1 4 38 2 1 F 0 0 1 488 
20 63846 1 4 39 5 2 J 1 1 1 691 
20 63846 1 4 40 8 2 J 1 1 1 682 
20 63846 1 4 41 2 2 J 1 1 1 464 
20 63846 1 4 42 8 1 J 1 0 0 520 
20 63846 1 4 43 5 1 F 0 0 1 510 
20 63846 1 4 44 5 2 J 1 1 1 436 
20 63846 1 4 45 2 2 J 1 1 1 431 
20 63846 1 4 46 5 1 F 0 0 1 875 
20 63846 1 4 47 5 2 J 1 1 1 370 
20 63846 1 4 48 5 2 J 1 1 1 398 
20 63846 1 4 49 8 2 J 1 1 1 350 
20 63846 1 4 50 8 2 J 1 1 1 138 
20 63846 1 4 51 8 2 J 1 1 1 459 
20 63846 1 4 52 8 2 J 1 1 1 146 
20 63846 1 4 53 5 1 J 1 0 0 212 
20 63846 1 4 54 5 2 J 1 1 1 93 
20 63846 1 4 55 2 2 J 1 1 1 408 
20 63846 1 4 56 2 2 J 1 1 1 336 
20 63846 1 4 57 5 1 F 0 0 1 548 
20 63846 1 4 58 5 2 J 1 1 1 597 
20 63846 1 4 59 8 1 J 1 0 0 158 
20 63846 1 4 60 8 2 J 1 1 1 185 
20 63846 2 5 1 8 1 J 1 0 0 821 
20 63846 2 5 2 2 2 J 1 1 1 439 
20 63846 2 5 3 8 2 J 1 1 1 420 
20 63846 2 5 4 8 1 J 1 0 0 881 
20 63846 2 5 5 2 2 J 1 1 1 479 
20 63846 2 5 6 8 2 J 1 1 1 609 
20 63846 2 5 7 5 1 J 1 0 0 323 
20 63846 2 5 8 8 2 J 1 1 1 713 
20 63846 2 5 9 5 1 F 0 0 1 532 
20 63846 2 5 10 2 1 F 0 0 1 711 
20 63846 2 5 11 2 2 J 1 1 1 431 
20 63846 2 5 12 2 2 J 1 1 1 368 
20 63846 2 5 13 2 1 F 0 0 1 559 
20 63846 2 5 14 8 2 J 1 1 1 589 
20 63846 2 5 15 8 1 J 1 0 0 238 
