Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
8 30244 1 1 1 5 2 J 1 1 1 905 
8 30244 1 1 2 5 2 J 1 1 1 581 
8 30244 1 1 3 2 1 F 0 0 1 1077 
8 30244 1 1 4 5 1 J 1 0 0 958 
8 30244 1 1 5 8 2 J 1 1 1 495 
8 30244 1 1 6 8 2 J 1 1 1 526 
8 30244 1 1 7 2 2 J 1 1 1 724 
8 30244 1 1 8 8 2 J 1 1 1 706 
8 30244 1 1 9 2 2 J 1 1 1 424 
8 30244 1 1 10 2 2 J 1 1 1 444 
8 30244 1 1 11 5 2 J 1 1 1 672 
8 30244 1 1 12 8 1 F 0 0 1 737 
8 30244 1 1 13 8 2 J 1 1 1 692 
8 30244 1 1 14 2 2 J 1 1 1 356 
8 30244 1 1 15 2 2 J 1 1 1 399 
8 30244 1 1 16 2 1 F 0 0 1 531 
8 30244 1 1 17 8 2 J 1 1 1 361 
8 30244 1 1 18 5 1 J 1 0 0 416 
8 30244 1 1 19 2 2 J 1 1 1 376 
8 30244 1 1 20 5 2 J 1 1 1 855 
8 30244 1 1 21 8 2 F 0 1 0 679 
8 30244 1 1 22 5 2 J 1 1 1 542 
8 30244 1 1 23 8 1 F 0 0 1 714 
8 30244 1 1 24 8 2 J 1 1 1 400 
8 30244 1 1 25 8 2 F 0 1 0 594 
8 30244 1 1 26 5 1 J 1 0 0 430 
8 30244 1 1 27 8 1 J 1 0 0 526 
8 30244 1 1 28 5 2 J 1 1 1 489 
8 30244 1 1 29 5 2 J 1 1 1 539 
8 30244 1 1 30 5 1 J 1 0 0 567 
8 30244 1 1 31 2 1 J 1 0 0 816 
8 30244 1 1 32 2 2 J 1 1 1 442 
8 30244 1 1 33 8 2 J 1 1 1 584 
8 30244 1 1 34 2 1 F 0 0 1 495 
8 30244 1 1 35 2 2 F 0 1 0 435 
8 30244 1 1 36 5 2 J 1 1 1 476 
8 30244 1 1 37 8 2 J 1 1 1 632 
8 30244 1 1 38 5 1 J 1 0 0 615 
8 30244 1 1 39 8 1 J 1 0 0 532 
8 30244 1 1 40 8 2 J 1 1 1 5750 
8 30244 1 1 41 2 2 J 1 1 1 403 
8 30244 1 1 42 5 2 J 1 1 1 592 
8 30244 1 1 43 5 2 J 1 1 1 496 
8 30244 1 1 44 5 2 J 1 1 1 431 
8 30244 1 1 45 2 2 J 1 1 1 455 
8 30244 1 1 46 5 2 J 1 1 1 364 
8 30244 1 1 47 5 2 J 1 1 1 796 
8 30244 1 1 48 2 2 J 1 1 1 432 
8 30244 1 1 49 5 1 J 1 0 0 438 
8 30244 1 1 50 8 2 J 1 1 1 421 
8 30244 1 1 51 8 1 J 1 0 0 511 
8 30244 1 1 52 8 2 J 1 1 1 502 
8 30244 1 1 53 2 2 J 1 1 1 546 
8 30244 1 1 54 2 2 J 1 1 1 499 
8 30244 1 1 55 2 1 F 0 0 1 933 
8 30244 1 1 56 2 2 J 1 1 1 482 
8 30244 1 1 57 8 1 J 1 0 0 856 
8 30244 1 1 58 8 2 J 1 1 1 786 
8 30244 1 1 59 5 2 J 1 1 1 579 
8 30244 1 1 60 2 1 F 0 0 1 525 
8 30244 2 2 1 2 1 F 0 0 1 555 
8 30244 2 2 2 2 1 F 0 0 1 494 
8 30244 2 2 3 2 2 J 1 1 1 616 
8 30244 2 2 4 5 2 J 1 1 1 609 
8 30244 2 2 5 8 2 J 1 1 1 854 
8 30244 2 2 6 2 2 J 1 1 1 423 
8 30244 2 2 7 8 1 F 0 0 1 677 
8 30244 2 2 8 2 2 J 1 1 1 504 
8 30244 2 2 9 2 1 F 0 0 1 518 
8 30244 2 2 10 5 1 F 0 0 1 764 
8 30244 2 2 11 5 2 J 1 1 1 507 
8 30244 2 2 12 8 1 J 1 0 0 631 
8 30244 2 2 13 2 2 J 1 1 1 686 
8 30244 2 2 14 2 2 J 1 1 1 768 
8 30244 2 2 15 8 1 J 1 0 0 574 
8 30244 2 2 16 5 1 F 0 0 1 797 
8 30244 2 2 17 2 2 J 1 1 1 575 
8 30244 2 2 18 5 1 J 1 0 0 520 
8 30244 2 2 19 2 1 F 0 0 1 599 
8 30244 2 2 20 2 2 J 1 1 1 607 
8 30244 2 2 21 5 2 F 0 1 0 537 
8 30244 2 2 22 5 2 J 1 1 1 783 
8 30244 2 2 23 2 1 F 0 0 1 574 
8 30244 2 2 24 5 1 F 0 0 1 563 
8 30244 2 2 25 5 1 F 0 0 1 508 
8 30244 2 2 26 8 2 F 0 1 0 618 
8 30244 2 2 27 8 1 J 1 0 0 887 
8 30244 2 2 28 8 1 J 1 0 0 551 
8 30244 2 2 29 5 2 J 1 1 1 655 
8 30244 2 2 30 2 2 J 1 1 1 495 
8 30244 2 2 31 5 2 J 1 1 1 511 
8 30244 2 2 32 2 1 F 0 0 1 431 
8 30244 2 2 33 5 2 J 1 1 1 653 
8 30244 2 2 34 8 1 F 0 0 1 685 
8 30244 2 2 35 8 2 J 1 1 1 832 
8 30244 2 2 36 8 2 J 1 1 1 603 
8 30244 2 2 37 5 1 F 0 0 1 620 
8 30244 2 2 38 2 1 F 0 0 1 567 
8 30244 2 2 39 8 2 F 0 1 0 574 
8 30244 2 2 40 5 2 J 1 1 1 737 
8 30244 2 2 41 5 1 F 0 0 1 679 
8 30244 2 2 42 2 1 F 0 0 1 438 
8 30244 2 2 43 8 2 J 1 1 1 760 
8 30244 2 2 44 8 2 J 1 1 1 529 
8 30244 2 2 45 2 1 F 0 0 1 423 
8 30244 2 2 46 8 1 F 0 0 1 465 
8 30244 2 2 47 8 2 F 0 1 0 601 
8 30244 2 2 48 5 2 J 1 1 1 548 
8 30244 2 2 49 2 1 F 0 0 1 574 
8 30244 2 2 50 8 2 F 0 1 0 655 
8 30244 2 2 51 8 2 J 1 1 1 544 
8 30244 2 2 52 2 2 J 1 1 1 390 
