Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
12 29677 1 1 1 8 1 J 1 0 0 638 
12 29677 1 1 2 2 2 J 1 1 1 574 
12 29677 1 1 3 8 1 J 1 0 0 883 
12 29677 1 1 4 8 2 J 1 1 1 608 
12 29677 1 1 5 2 2 J 1 1 1 469 
12 29677 1 1 6 5 1 F 0 0 1 627 
12 29677 1 1 7 5 2 J 1 1 1 440 
12 29677 1 1 8 5 1 J 1 0 0 470 
12 29677 1 1 9 2 2 J 1 1 1 401 
12 29677 1 1 10 2 2 J 1 1 1 399 
12 29677 1 1 11 5 1 F 0 0 1 544 
12 29677 1 1 12 2 2 J 1 1 1 414 
12 29677 1 1 13 8 2 J 1 1 1 500 
12 29677 1 1 14 8 2 F 0 1 0 664 
12 29677 1 1 15 2 2 J 1 1 1 366 
12 29677 1 1 16 8 2 J 1 1 1 416 
12 29677 1 1 17 2 2 J 1 1 1 408 
12 29677 1 1 18 8 2 F 0 1 0 702 
12 29677 1 1 19 8 1 J 1 0 0 694 
12 29677 1 1 20 8 2 J 1 1 1 456 
12 29677 1 1 21 5 1 F 0 0 1 573 
12 29677 1 1 22 5 2 J 1 1 1 418 
12 29677 1 1 23 5 1 F 0 0 1 475 
12 29677 1 1 24 5 2 J 1 1 1 428 
12 29677 1 1 25 5 2 J 1 1 1 749 
12 29677 1 1 26 8 2 J 1 1 1 495 
12 29677 1 1 27 8 2 J 1 1 1 407 
12 29677 1 1 28 2 1 F 0 0 1 516 
12 29677 1 1 29 8 2 J 1 1 1 377 
12 29677 1 1 30 2 2 J 1 1 1 311 
12 29677 1 1 31 8 1 J 1 0 0 447 
12 29677 1 1 32 2 1 F 0 0 1 528 
12 29677 1 1 33 8 2 J 1 1 1 488 
12 29677 1 1 34 5 2 J 1 1 1 355 
12 29677 1 1 35 5 2 J 1 1 1 347 
12 29677 1 1 36 5 2 J 1 1 1 406 
12 29677 1 1 37 5 2 J 1 1 1 410 
12 29677 1 1 38 8 2 J 1 1 1 407 
12 29677 1 1 39 2 1 F 0 0 1 437 
12 29677 1 1 40 2 1 F 0 0 1 459 
12 29677 1 1 41 8 1 J 1 0 0 487 
12 29677 1 1 42 5 2 J 1 1 1 405 
12 29677 1 1 43 2 1 J 1 0 0 460 
12 29677 1 1 44 8 2 J 1 1 1 492 
12 29677 1 1 45 2 2 J 1 1 1 511 
12 29677 1 1 46 8 2 J 1 1 1 454 
12 29677 1 1 47 5 2 J 1 1 1 540 
12 29677 1 1 48 5 2 J 1 1 1 388 
12 29677 1 1 49 2 1 F 0 0 1 467 
12 29677 1 1 50 2 2 J 1 1 1 334 
12 29677 1 1 51 2 2 J 1 1 1 320 
12 29677 1 1 52 2 2 J 1 1 1 454 
12 29677 1 1 53 5 1 J 1 0 0 538 
