Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
11 12918 3 1 1 8 1 F 0 0 1 2313 
11 12918 3 1 2 2 2 J 1 1 1 1631 
11 12918 3 1 3 2 1 J 1 0 0 1876 
11 12918 3 1 4 5 1 F 0 0 1 1481 
11 12918 3 1 5 2 2 J 1 1 1 1359 
11 12918 3 1 6 2 1 F 0 0 1 1286 
11 12918 3 1 7 5 1 J 1 0 0 1482 
11 12918 3 1 8 5 2 J 1 1 1 1178 
11 12918 3 1 9 8 1 J 1 0 0 1111 
11 12918 3 1 10 2 2 J 1 1 1 1046 
11 12918 3 1 11 8 1 J 1 0 0 1105 
11 12918 3 1 12 2 2 J 1 1 1 1063 
11 12918 3 1 13 8 1 F 0 0 1 1175 
11 12918 3 1 14 8 2 F 0 1 0 1704 
11 12918 3 1 15 2 1 F 0 0 1 1125 
11 12918 3 1 16 8 1 F 0 0 1 1448 
11 12918 3 1 17 8 2 J 1 1 1 1130 
11 12918 3 1 18 5 1 F 0 0 1 1227 
11 12918 3 1 19 5 1 F 0 0 1 1222 
11 12918 3 1 20 2 1 F 0 0 1 1013 
11 12918 3 1 21 8 2 F 0 1 0 1446 
11 12918 3 1 22 8 1 J 1 0 0 1167 
11 12918 3 1 23 8 1 F 0 0 1 1018 
11 12918 3 1 24 2 1 F 0 0 1 1148 
11 12918 3 1 25 2 1 F 0 0 1 1237 
11 12918 3 1 26 5 1 F 0 0 1 1218 
11 12918 3 1 27 2 1 F 0 0 1 908 
11 12918 3 1 28 2 1 J 1 0 0 990 
11 12918 3 1 29 5 1 F 0 0 1 818 
11 12918 3 1 30 8 2 F 0 1 0 1216 
11 12918 3 1 31 2 1 F 0 0 1 975 
11 12918 3 1 32 5 2 J 1 1 1 948 
11 12918 3 1 33 2 1 F 0 0 1 1019 
11 12918 3 1 34 5 1 F 0 0 1 981 
11 12918 3 1 35 5 2 F 0 1 0 1138 
11 12918 3 1 36 2 1 J 1 0 0 1483 
11 12918 3 1 37 5 1 F 0 0 1 932 
11 12918 3 1 38 5 1 F 0 0 1 1300 
11 12918 3 1 39 8 1 J 1 0 0 1590 
11 12918 3 1 40 5 1 F 0 0 1 1190 
11 12918 3 1 41 2 1 F 0 0 1 1079 
11 12918 3 1 42 2 1 F 0 0 1 1078 
11 12918 3 1 43 8 2 J 1 1 1 1174 
11 12918 3 1 44 8 1 F 0 0 1 1033 
11 12918 3 1 45 2 2 J 1 1 1 1032 
11 12918 3 1 46 5 2 F 0 1 0 1156 
11 12918 3 1 47 2 2 J 1 1 1 997 
11 12918 3 1 48 5 2 F 0 1 0 1674 
11 12918 3 1 49 5 1 F 0 0 1 1593 
11 12918 3 1 50 5 1 F 0 0 1 1356 
11 12918 3 1 51 8 1 F 0 0 1 1521 
11 12918 3 1 52 2 1 F 0 0 1 1233 
11 12918 3 1 53 5 2 J 1 1 1 961 
11 12918 3 1 54 5 1 F 0 0 1 1349 
11 12918 3 1 55 8 1 J 1 0 0 1603 
11 12918 3 1 56 8 1 J 1 0 0 2317 
11 12918 3 1 57 8 2 F 0 1 0 1558 
11 12918 3 1 58 5 1 F 0 0 1 1148 
11 12918 3 1 59 8 1 J 1 0 0 1163 
