Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
9 36651 4 1 1 2 1 F 0 0 1 606 
9 36651 4 1 2 5 1 F 0 0 1 682 
9 36651 4 1 3 2 1 F 0 0 1 383 
9 36651 4 1 4 5 1 F 0 0 1 453 
9 36651 4 1 5 5 1 F 0 0 1 381 
9 36651 4 1 6 2 1 F 0 0 1 318 
9 36651 4 1 7 2 1 F 0 0 1 433 
9 36651 4 1 8 2 2 J 1 1 1 616 
9 36651 4 1 9 8 1 F 0 0 1 479 
9 36651 4 1 10 5 1 F 0 0 1 460 
9 36651 4 1 11 2 1 F 0 0 1 400 
9 36651 4 1 12 2 1 F 0 0 1 383 
9 36651 4 1 13 2 1 F 0 0 1 399 
9 36651 4 1 14 2 1 F 0 0 1 372 
9 36651 4 1 15 2 1 F 0 0 1 399 
9 36651 4 1 16 5 1 F 0 0 1 449 
9 36651 4 1 17 5 1 F 0 0 1 418 
9 36651 4 1 18 8 1 F 0 0 1 426 
9 36651 4 1 19 2 1 F 0 0 1 376 
9 36651 4 1 20 8 1 F 0 0 1 387 
9 36651 4 1 21 5 1 F 0 0 1 431 
9 36651 4 1 22 2 1 F 0 0 1 598 
9 36651 4 1 23 2 2 J 1 1 1 463 
9 36651 4 1 24 8 1 F 0 0 1 511 
9 36651 4 1 25 8 1 F 0 0 1 524 
9 36651 4 1 26 8 2 J 1 1 1 627 
9 36651 4 1 27 8 1 J 1 0 0 2314 
9 36651 4 1 28 5 2 J 1 1 1 718 
9 36651 4 1 29 2 2 J 1 1 1 534 
9 36651 4 1 30 8 1 F 0 0 1 952 
9 36651 4 1 31 8 2 J 1 1 1 720 
9 36651 4 1 32 5 1 F 0 0 1 900 
9 36651 4 1 33 2 1 F 0 0 1 559 
9 36651 4 1 34 2 1 F 0 0 1 456 
9 36651 4 1 35 5 1 F 0 0 1 626 
9 36651 4 1 36 5 2 J 1 1 1 520 
9 36651 4 1 37 8 1 F 0 0 1 690 
9 36651 4 1 38 8 1 F 0 0 1 538 
9 36651 4 1 39 5 1 F 0 0 1 574 
9 36651 4 1 40 8 1 F 0 0 1 546 
9 36651 4 1 41 5 1 F 0 0 1 589 
9 36651 4 1 42 5 1 F 0 0 1 567 
9 36651 4 1 43 2 1 F 0 0 1 669 
9 36651 4 1 44 8 1 F 0 0 1 919 
9 36651 4 1 45 2 1 F 0 0 1 550 
9 36651 4 1 46 5 1 F 0 0 1 459 
9 36651 4 1 47 8 1 F 0 0 1 535 
9 36651 4 1 48 8 1 F 0 0 1 507 
9 36651 4 1 49 5 2 F 0 1 0 502 
9 36651 4 1 50 8 1 F 0 0 1 595 
9 36651 4 1 51 2 1 F 0 0 1 479 
9 36651 4 1 52 5 1 F 0 0 1 374 
9 36651 4 1 53 8 1 F 0 0 1 409 
9 36651 4 1 54 5 1 F 0 0 1 493 
9 36651 4 1 55 5 1 F 0 0 1 364 
9 36651 4 1 56 8 1 F 0 0 1 368 
