Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
7 43573 1 1 1 5 2 J 1 1 1 698 
7 43573 1 1 2 5 1 F 0 0 1 557 
7 43573 1 1 3 2 2 J 1 1 1 384 
7 43573 1 1 4 2 1 F 0 0 1 957 
7 43573 1 1 5 8 2 F 0 1 0 933 
7 43573 1 1 6 8 1 J 1 0 0 628 
7 43573 1 1 7 5 2 J 1 1 1 924 
7 43573 1 1 8 8 2 J 1 1 1 1129 
7 43573 1 1 9 2 2 J 1 1 1 433 
7 43573 1 1 10 2 2 J 1 1 1 633 
7 43573 1 1 11 8 2 J 1 1 1 473 
7 43573 1 1 12 2 1 F 0 0 1 673 
7 43573 1 1 13 2 2 J 1 1 1 983 
7 43573 1 1 14 8 1 J 1 0 0 444 
7 43573 1 1 15 2 1 F 0 0 1 513 
7 43573 1 1 16 2 2 J 1 1 1 423 
7 43573 1 1 17 5 2 J 1 1 1 708 
7 43573 1 1 18 8 2 J 1 1 1 642 
7 43573 1 1 19 2 2 J 1 1 1 464 
7 43573 1 1 20 8 2 J 1 1 1 619 
7 43573 1 1 21 5 2 J 1 1 1 596 
7 43573 1 1 22 2 1 F 0 0 1 622 
7 43573 1 1 23 2 2 J 1 1 1 433 
7 43573 1 1 24 5 1 F 0 0 1 637 
7 43573 1 1 25 5 2 J 1 1 1 740 
7 43573 1 1 26 8 2 J 1 1 1 649 
7 43573 1 1 27 5 1 J 1 0 0 607 
7 43573 1 1 28 8 1 J 1 0 0 811 
7 43573 1 1 29 5 1 F 0 0 1 605 
7 43573 1 1 30 2 2 J 1 1 1 720 
7 43573 1 1 31 2 1 F 0 0 1 870 
7 43573 1 1 32 8 2 J 1 1 1 921 
7 43573 1 1 33 5 2 J 1 1 1 517 
7 43573 1 1 34 5 2 J 1 1 1 684 
7 43573 1 1 35 5 1 J 1 0 0 614 
7 43573 1 1 36 2 2 J 1 1 1 497 
7 43573 1 1 37 8 2 J 1 1 1 657 
7 43573 1 1 38 5 2 J 1 1 1 661 
7 43573 1 1 39 8 2 J 1 1 1 460 
7 43573 1 1 40 8 1 J 1 0 0 498 
7 43573 1 1 41 5 2 J 1 1 1 660 
7 43573 1 1 42 5 2 J 1 1 1 476 
7 43573 1 1 43 2 2 J 1 1 1 705 
7 43573 1 1 44 8 2 J 1 1 1 599 
7 43573 1 1 45 2 2 J 1 1 1 631 
7 43573 1 1 46 5 2 J 1 1 1 485 
7 43573 1 1 47 2 2 J 1 1 1 761 
7 43573 1 1 48 5 2 J 1 1 1 420 
7 43573 1 1 49 8 2 J 1 1 1 538 
7 43573 1 1 50 5 1 F 0 0 1 700 
7 43573 1 1 51 5 2 J 1 1 1 701 
7 43573 1 1 52 8 2 J 1 1 1 471 
7 43573 1 1 53 2 2 J 1 1 1 543 
7 43573 1 1 54 8 1 J 1 0 0 480 
7 43573 1 1 55 2 2 J 1 1 1 584 
7 43573 1 1 56 8 2 J 1 1 1 594 
7 43573 1 1 57 8 2 J 1 1 1 544 
7 43573 1 1 58 5 2 J 1 1 1 452 
7 43573 1 1 59 8 1 J 1 0 0 602 
7 43573 1 1 60 2 1 F 0 0 1 743 
7 43573 4 2 1 2 1 F 0 0 1 652 
7 43573 4 2 2 5 1 F 0 0 1 571 
7 43573 4 2 3 2 1 F 0 0 1 461 
7 43573 4 2 4 2 1 F 0 0 1 390 
7 43573 4 2 5 2 1 F 0 0 1 519 
7 43573 4 2 6 5 2 J 1 1 1 652 
7 43573 4 2 7 2 2 J 1 1 1 1159 
7 43573 4 2 8 8 1 F 0 0 1 515 
7 43573 4 2 9 2 1 F 0 0 1 689 
7 43573 4 2 10 5 1 F 0 0 1 806 
7 43573 4 2 11 2 1 F 0 0 1 717 
7 43573 4 2 12 5 1 F 0 0 1 676 
7 43573 4 2 13 8 1 F 0 0 1 841 
7 43573 4 2 14 2 1 F 0 0 1 592 
7 43573 4 2 15 8 1 F 0 0 1 747 
7 43573 4 2 16 8 1 F 0 0 1 617 
7 43573 4 2 17 2 1 F 0 0 1 497 
7 43573 4 2 18 5 1 J 1 0 0 959 
7 43573 4 2 19 2 1 F 0 0 1 941 
7 43573 4 2 20 8 2 F 0 1 0 737 
7 43573 4 2 21 5 1 F 0 0 1 964 
7 43573 4 2 22 5 1 F 0 0 1 550 
7 43573 4 2 23 5 2 J 1 1 1 745 
7 43573 4 2 24 5 1 F 0 0 1 693 
7 43573 4 2 25 2 1 F 0 0 1 599 
7 43573 4 2 26 5 2 F 0 1 0 748 
7 43573 4 2 27 2 1 F 0 0 1 693 
7 43573 4 2 28 2 1 F 0 0 1 526 
7 43573 4 2 29 8 2 F 0 1 0 513 
7 43573 4 2 30 8 1 F 0 0 1 577 
7 43573 4 2 31 5 1 F 0 0 1 595 
7 43573 4 2 32 5 1 F 0 0 1 469 
7 43573 4 2 33 2 2 J 1 1 1 679 
7 43573 4 2 34 8 1 F 0 0 1 735 
7 43573 4 2 35 5 1 F 0 0 1 653 
7 43573 4 2 36 8 1 F 0 0 1 469 
7 43573 4 2 37 2 1 F 0 0 1 536 
7 43573 4 2 38 5 1 F 0 0 1 462 
7 43573 4 2 39 8 1 F 0 0 1 416 
7 43573 4 2 40 8 1 F 0 0 1 460 
7 43573 4 2 41 8 1 F 0 0 1 523 
