Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
15 48562 2 1 1 8 1 F 0 0 1 1271 
15 48562 2 1 2 2 2 J 1 1 1 616 
15 48562 2 1 3 2 1 F 0 0 1 752 
15 48562 2 1 4 2 2 J 1 1 1 959 
15 48562 2 1 5 2 1 F 0 0 1 936 
15 48562 2 1 6 8 2 F 0 1 0 1984 
15 48562 2 1 7 8 2 J 1 1 1 1052 
15 48562 2 1 8 2 1 F 0 0 1 616 
15 48562 2 1 9 2 1 F 0 0 1 696 
15 48562 2 1 10 8 2 J 1 1 1 910 
15 48562 2 1 11 8 1 F 0 0 1 687 
15 48562 2 1 12 2 1 F 0 0 1 655 
15 48562 2 1 13 2 2 J 1 1 1 772 
15 48562 2 1 14 8 1 F 0 0 1 675 
15 48562 2 1 15 8 2 J 1 1 1 912 
15 48562 2 1 16 8 1 F 0 0 1 729 
15 48562 2 1 17 8 1 F 0 0 1 748 
15 48562 2 1 18 8 1 F 0 0 1 649 
15 48562 2 1 19 2 2 J 1 1 1 577 
15 48562 2 1 20 8 2 J 1 1 1 1155 
15 48562 2 1 21 5 1 F 0 0 1 762 
15 48562 2 1 22 5 2 J 1 1 1 638 
15 48562 2 1 23 8 2 F 0 1 0 1441 
15 48562 2 1 24 5 2 F 0 1 0 1226 
15 48562 2 1 25 5 2 J 1 1 1 658 
15 48562 2 1 26 8 1 F 0 0 1 767 
15 48562 2 1 27 5 2 J 1 1 1 820 
15 48562 2 1 28 2 2 J 1 1 1 656 
15 48562 2 1 29 5 1 F 0 0 1 781 
15 48562 2 1 30 5 1 F 0 0 1 690 
15 48562 2 1 31 8 2 J 1 1 1 1577 
15 48562 2 1 32 5 2 J 1 1 1 806 
15 48562 2 1 33 5 1 F 0 0 1 915 
15 48562 2 1 34 5 2 J 1 1 1 581 
15 48562 2 1 35 5 2 F 0 1 0 1005 
15 48562 2 1 36 5 1 F 0 0 1 1097 
15 48562 2 1 37 2 2 J 1 1 1 864 
15 48562 2 1 38 5 2 J 1 1 1 645 
15 48562 2 1 39 2 1 F 0 0 1 966 
15 48562 2 1 40 2 1 F 0 0 1 638 
15 48562 2 1 41 8 1 F 0 0 1 1910 
15 48562 2 1 42 5 1 F 0 0 1 740 
15 48562 2 1 43 5 2 J 1 1 1 1298 
15 48562 2 1 44 8 2 F 0 1 0 720 
15 48562 2 1 45 2 1 F 0 0 1 574 
15 48562 2 1 46 5 1 F 0 0 1 517 
15 48562 2 1 47 2 2 J 1 1 1 592 
15 48562 2 1 48 2 2 J 1 1 1 1390 
15 48562 2 1 49 2 1 F 0 0 1 590 
15 48562 2 1 50 5 1 F 0 0 1 1140 
15 48562 2 1 51 8 2 J 1 1 1 909 
15 48562 2 1 52 2 1 F 0 0 1 711 
15 48562 2 1 53 8 1 F 0 0 1 855 
15 48562 2 1 54 2 2 J 1 1 1 544 
15 48562 2 1 55 8 2 J 1 1 1 688 
15 48562 2 1 56 2 2 F 0 1 0 558 
15 48562 2 1 57 5 1 F 0 0 1 739 
15 48562 2 1 58 5 1 F 0 0 1 678 
15 48562 2 1 59 8 1 F 0 0 1 921 
15 48562 2 1 60 5 2 J 1 1 1 1340 
15 48562 0 2 1 5 2 J 1 1 1 693 
15 48562 0 2 2 2 2 J 1 1 1 416 
15 48562 0 2 3 5 2 F 0 1 0 677 
15 48562 0 2 4 8 2 J 1 1 1 900 
15 48562 0 2 5 5 2 J 1 1 1 737 
15 48562 0 2 6 8 2 J 1 1 1 922 
15 48562 0 2 7 5 2 J 1 1 1 508 
15 48562 0 2 8 5 2 J 1 1 1 694 
15 48562 0 2 9 8 2 J 1 1 1 1112 
15 48562 0 2 10 8 2 J 1 1 1 864 
15 48562 0 2 11 5 2 J 1 1 1 757 
15 48562 0 2 12 5 2 J 1 1 1 755 
15 48562 0 2 13 2 1 F 0 0 1 615 
15 48562 0 2 14 2 2 J 1 1 1 576 
15 48562 0 2 15 8 2 J 1 1 1 1181 
15 48562 0 2 16 8 2 J 1 1 1 1654 
15 48562 0 2 17 2 2 J 1 1 1 559 
15 48562 0 2 18 8 1 F 0 0 1 743 
15 48562 0 2 19 2 2 J 1 1 1 422 
15 48562 0 2 20 2 2 J 1 1 1 561 
15 48562 0 2 21 8 2 J 1 1 1 1016 
15 48562 0 2 22 5 1 F 0 0 1 844 
15 48562 0 2 23 5 2 J 1 1 1 605 
15 48562 0 2 24 2 2 J 1 1 1 511 
15 48562 0 2 25 8 2 J 1 1 1 912 
15 48562 0 2 26 5 2 F 0 1 0 814 
15 48562 0 2 27 8 2 J 1 1 1 492 
15 48562 0 2 28 5 2 J 1 1 1 474 
15 48562 0 2 29 5 2 J 1 1 1 522 
15 48562 0 2 30 5 2 J 1 1 1 613 
15 48562 0 2 31 2 1 F 0 0 1 599 
15 48562 0 2 32 5 2 J 1 1 1 539 
15 48562 0 2 33 2 2 J 1 1 1 632 
15 48562 0 2 34 2 2 J 1 1 1 470 
15 48562 0 2 35 5 2 J 1 1 1 483 
15 48562 0 2 36 8 2 J 1 1 1 488 
15 48562 0 2 37 8 2 J 1 1 1 513 
15 48562 0 2 38 8 2 J 1 1 1 586 
15 48562 0 2 39 8 1 F 0 0 1 624 
15 48562 0 2 40 2 2 J 1 1 1 695 
15 48562 0 2 41 8 2 J 1 1 1 778 
15 48562 0 2 42 2 2 J 1 1 1 616 
15 48562 0 2 43 5 1 F 0 0 1 618 
15 48562 0 2 44 8 2 J 1 1 1 752 
15 48562 0 2 45 8 2 J 1 1 1 524 
15 48562 0 2 46 2 2 J 1 1 1 685 
15 48562 0 2 47 2 2 J 1 1 1 1232 
15 48562 0 2 48 2 2 J 1 1 1 449 
15 48562 0 2 49 8 2 J 1 1 1 724 
15 48562 0 2 50 2 2 J 1 1 1 529 
15 48562 0 2 51 8 1 F 0 0 1 772 
15 48562 0 2 52 5 1 F 0 0 1 595 
15 48562 0 2 53 2 2 F 0 1 0 488 
15 48562 0 2 54 2 2 J 1 1 1 383 
15 48562 0 2 55 5 2 J 1 1 1 666 
15 48562 0 2 56 2 1 F 0 0 1 608 
15 48562 0 2 57 5 2 J 1 1 1 540 
15 48562 0 2 58 8 2 J 1 1 1 1060 
15 48562 0 2 59 2 2 J 1 1 1 481 
15 48562 0 2 60 5 2 J 1 1 1 533 
15 48562 3 3 1 2 2 J 1 1 1 731 
15 48562 3 3 2 8 1 F 0 0 1 1177 
15 48562 3 3 3 8 1 F 0 0 1 914 
15 48562 3 3 4 5 1 F 0 0 1 594 
15 48562 3 3 5 5 2 J 1 1 1 869 
15 48562 3 3 6 5 1 F 0 0 1 716 
15 48562 3 3 7 2 1 F 0 0 1 715 
15 48562 3 3 8 5 2 J 1 1 1 700 
15 48562 3 3 9 5 1 F 0 0 1 650 
15 48562 3 3 10 5 1 F 0 0 1 976 
15 48562 3 3 11 2 1 F 0 0 1 933 
15 48562 3 3 12 2 1 F 0 0 1 615 
15 48562 3 3 13 8 1 F 0 0 1 893 
15 48562 3 3 14 5 1 F 0 0 1 557 
15 48562 3 3 15 5 1 F 0 0 1 506 
15 48562 3 3 16 2 2 J 1 1 1 687 
15 48562 3 3 17 5 1 F 0 0 1 675 
15 48562 3 3 18 2 1 F 0 0 1 686 
15 48562 3 3 19 2 1 F 0 0 1 595 
15 48562 3 3 20 8 1 F 0 0 1 1194 
15 48562 3 3 21 8 2 F 0 1 0 620 
15 48562 3 3 22 5 1 F 0 0 1 570 
15 48562 3 3 23 8 2 J 1 1 1 784 
15 48562 3 3 24 2 2 J 1 1 1 559 
15 48562 3 3 25 5 1 F 0 0 1 834 
15 48562 3 3 26 2 1 F 0 0 1 992 
15 48562 3 3 27 5 2 J 1 1 1 907 
15 48562 3 3 28 2 1 F 0 0 1 718 
15 48562 3 3 29 2 2 J 1 1 1 1056 
15 48562 3 3 30 8 1 F 0 0 1 716 
15 48562 3 3 31 8 1 J 1 0 0 1231 
15 48562 3 3 32 2 1 F 0 0 1 664 
15 48562 3 3 33 8 2 J 1 1 1 928 
15 48562 3 3 34 2 1 F 0 0 1 607 
15 48562 3 3 35 5 1 F 0 0 1 725 
15 48562 3 3 36 8 1 F 0 0 1 1616 
15 48562 3 3 37 8 1 F 0 0 1 824 
15 48562 3 3 38 5 1 F 0 0 1 701 
15 48562 3 3 39 5 1 F 0 0 1 787 
15 48562 3 3 40 8 1 F 0 0 1 776 
15 48562 3 3 41 8 1 F 0 0 1 843 
