Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
9 61144 4 1 1 8 1 F 0 0 1 1349 
9 61144 4 1 2 2 1 F 0 0 1 1015 
9 61144 4 1 3 2 1 F 0 0 1 862 
9 61144 4 1 4 2 2 J 1 1 1 1071 
9 61144 4 1 5 2 1 F 0 0 1 902 
9 61144 4 1 6 2 1 F 0 0 1 670 
9 61144 4 1 7 8 1 J 1 0 0 1135 
9 61144 4 1 8 5 2 F 0 1 0 844 
9 61144 4 1 9 8 2 J 1 1 1 1168 
9 61144 4 1 10 5 1 F 0 0 1 1156 
9 61144 4 1 11 2 1 F 0 0 1 697 
9 61144 4 1 12 5 2 J 1 1 1 1095 
9 61144 4 1 13 8 1 F 0 0 1 969 
9 61144 4 1 14 5 1 F 0 0 1 1260 
9 61144 4 1 15 2 1 F 0 0 1 1378 
9 61144 4 1 16 5 2 J 1 1 1 1252 
9 61144 4 1 17 8 1 F 0 0 1 960 
9 61144 4 1 18 8 1 F 0 0 1 963 
9 61144 4 1 19 5 1 F 0 0 1 766 
9 61144 4 1 20 8 1 F 0 0 1 738 
9 61144 4 1 21 5 1 J 1 0 0 1118 
9 61144 4 1 22 5 1 F 0 0 1 708 
9 61144 4 1 23 8 2 F 0 1 0 1288 
9 61144 4 1 24 2 1 F 0 0 1 649 
9 61144 4 1 25 2 1 F 0 0 1 952 
9 61144 4 1 26 5 1 F 0 0 1 685 
9 61144 4 1 27 2 1 F 0 0 1 850 
9 61144 4 1 28 8 1 F 0 0 1 824 
9 61144 4 1 29 8 1 F 0 0 1 778 
9 61144 4 1 30 2 1 F 0 0 1 656 
9 61144 4 1 31 5 1 F 0 0 1 699 
9 61144 4 1 32 8 1 J 1 0 0 888 
9 61144 4 1 33 5 1 F 0 0 1 711 
9 61144 4 1 34 8 1 F 0 0 1 649 
9 61144 4 1 35 8 2 F 0 1 0 1416 
9 61144 4 1 36 5 1 F 0 0 1 798 
9 61144 4 1 37 2 1 F 0 0 1 720 
9 61144 4 1 38 5 1 F 0 0 1 628 
9 61144 4 1 39 2 2 F 0 1 0 633 
9 61144 4 1 40 8 1 F 0 0 1 770 
9 61144 4 1 41 8 1 F 0 0 1 687 
9 61144 4 1 42 8 1 F 0 0 1 1384 
9 61144 4 1 43 2 1 F 0 0 1 664 
9 61144 4 1 44 8 1 F 0 0 1 762 
9 61144 4 1 45 2 2 J 1 1 1 1278 
9 61144 4 1 46 8 1 F 0 0 1 1178 
9 61144 4 1 47 2 1 F 0 0 1 1280 
9 61144 4 1 48 8 1 F 0 0 1 2009 
9 61144 4 1 49 5 1 F 0 0 1 981 
9 61144 4 1 50 5 1 F 0 0 1 687 
9 61144 4 1 51 5 1 F 0 0 1 612 
9 61144 4 1 52 8 1 F 0 0 1 713 
9 61144 4 1 53 2 1 F 0 0 1 536 
9 61144 4 1 54 5 1 F 0 0 1 701 
9 61144 4 1 55 5 1 F 0 0 1 1147 
9 61144 4 1 56 2 1 F 0 0 1 568 
9 61144 4 1 57 2 1 F 0 0 1 559 
9 61144 4 1 58 5 1 F 0 0 1 611 
9 61144 4 1 59 2 1 F 0 0 1 639 
9 61144 4 1 60 5 1 F 0 0 1 573 
9 61144 2 2 1 5 2 F 0 1 0 1276 
9 61144 2 2 2 2 2 J 1 1 1 935 
9 61144 2 2 3 8 2 J 1 1 1 932 
9 61144 2 2 4 2 2 J 1 1 1 720 
9 61144 2 2 5 5 2 F 0 1 0 917 
9 61144 2 2 6 2 1 F 0 0 1 647 
9 61144 2 2 7 2 2 J 1 1 1 815 
9 61144 2 2 8 8 1 J 1 0 0 1248 
9 61144 2 2 9 2 1 F 0 0 1 848 
9 61144 2 2 10 2 2 J 1 1 1 808 
9 61144 2 2 11 8 1 F 0 0 1 1096 
9 61144 2 2 12 2 2 J 1 1 1 698 
9 61144 2 2 13 8 2 J 1 1 1 1114 
9 61144 2 2 14 2 2 J 1 1 1 743 
9 61144 2 2 15 5 2 F 0 1 0 1021 
9 61144 2 2 16 2 2 J 1 1 1 810 
9 61144 2 2 17 5 1 F 0 0 1 756 
9 61144 2 2 18 5 1 F 0 0 1 933 
9 61144 2 2 19 2 1 F 0 0 1 614 
9 61144 2 2 20 8 1 J 1 0 0 1017 
9 61144 2 2 21 5 2 F 0 1 0 861 
9 61144 2 2 22 8 2 J 1 1 1 1202 
9 61144 2 2 23 2 2 J 1 1 1 1008 
9 61144 2 2 24 8 1 F 0 0 1 1136 
9 61144 2 2 25 5 2 F 0 1 0 1235 
9 61144 2 2 26 2 1 F 0 0 1 679 
9 61144 2 2 27 2 2 J 1 1 1 777 
9 61144 2 2 28 8 1 F 0 0 1 889 
9 61144 2 2 29 8 2 F 0 1 0 1000 
9 61144 2 2 30 8 1 F 0 0 1 999 
9 61144 2 2 31 8 1 F 0 0 1 1104 
9 61144 2 2 32 8 1 F 0 0 1 720 
9 61144 2 2 33 5 2 F 0 1 0 997 
9 61144 2 2 34 8 2 F 0 1 0 920 
9 61144 2 2 35 2 1 F 0 0 1 928 
9 61144 2 2 36 5 1 F 0 0 1 1012 
9 61144 2 2 37 2 1 F 0 0 1 689 
9 61144 2 2 38 5 2 J 1 1 1 854 
9 61144 2 2 39 2 1 F 0 0 1 673 
9 61144 2 2 40 5 1 F 0 0 1 796 
9 61144 2 2 41 2 2 J 1 1 1 976 
9 61144 2 2 42 5 1 F 0 0 1 1574 
9 61144 2 2 43 8 2 J 1 1 1 2363 
9 61144 2 2 44 5 1 F 0 0 1 756 
9 61144 2 2 45 5 2 J 1 1 1 835 
9 61144 2 2 46 5 1 J 1 0 0 1207 
9 61144 2 2 47 2 1 F 0 0 1 967 
9 61144 2 2 48 5 2 J 1 1 1 869 
9 61144 2 2 49 8 1 J 1 0 0 1176 
9 61144 2 2 50 8 2 J 1 1 1 1257 
9 61144 2 2 51 5 1 F 0 0 1 853 
9 61144 2 2 52 2 1 F 0 0 1 728 
9 61144 2 2 53 8 2 F 0 1 0 1113 
9 61144 2 2 54 5 1 F 0 0 1 1178 
9 61144 2 2 55 8 2 J 1 1 1 962 
9 61144 2 2 56 5 2 J 1 1 1 756 
9 61144 2 2 57 8 1 J 1 0 0 1115 
9 61144 2 2 58 5 1 F 0 0 1 726 
9 61144 2 2 59 8 2 J 1 1 1 1371 
9 61144 2 2 60 2 1 F 0 0 1 741 
9 61144 3 3 1 2 1 F 0 0 1 1345 
9 61144 3 3 2 5 1 F 0 0 1 705 
9 61144 3 3 3 5 1 F 0 0 1 713 
9 61144 3 3 4 8 1 J 1 0 0 880 
9 61144 3 3 5 5 2 J 1 1 1 1093 
9 61144 3 3 6 2 1 F 0 0 1 600 
9 61144 3 3 7 8 2 F 0 1 0 1232 
9 61144 3 3 8 8 1 J 1 0 0 867 
9 61144 3 3 9 5 1 J 1 0 0 902 
9 61144 3 3 10 5 1 F 0 0 1 716 
9 61144 3 3 11 2 1 F 0 0 1 657 
9 61144 3 3 12 2 2 J 1 1 1 792 
9 61144 3 3 13 5 1 F 0 0 1 955 
9 61144 3 3 14 5 2 J 1 1 1 1079 
9 61144 3 3 15 5 1 F 0 0 1 797 
9 61144 3 3 16 5 1 F 0 0 1 787 
9 61144 3 3 17 5 1 F 0 0 1 892 
9 61144 3 3 18 5 1 F 0 0 1 742 
9 61144 3 3 19 8 1 J 1 0 0 990 
9 61144 3 3 20 2 1 F 0 0 1 926 
9 61144 3 3 21 8 2 J 1 1 1 980 
9 61144 3 3 22 2 1 F 0 0 1 743 
9 61144 3 3 23 8 1 F 0 0 1 706 
9 61144 3 3 24 2 2 J 1 1 1 704 
9 61144 3 3 25 8 1 F 0 0 1 969 
9 61144 3 3 26 5 1 F 0 0 1 813 
9 61144 3 3 27 5 2 F 0 1 0 597 
9 61144 3 3 28 8 1 F 0 0 1 699 
9 61144 3 3 29 5 2 J 1 1 1 870 
9 61144 3 3 30 2 1 F 0 0 1 610 
9 61144 3 3 31 2 1 F 0 0 1 680 
9 61144 3 3 32 2 1 F 0 0 1 632 
9 61144 3 3 33 8 2 J 1 1 1 1294 
9 61144 3 3 34 2 1 F 0 0 1 720 
9 61144 3 3 35 2 2 J 1 1 1 728 
9 61144 3 3 36 5 2 J 1 1 1 1117 
9 61144 3 3 37 8 2 J 1 1 1 1099 
9 61144 3 3 38 5 1 F 0 0 1 718 
9 61144 3 3 39 2 2 J 1 1 1 661 
9 61144 3 3 40 8 1 J 1 0 0 1064 
9 61144 3 3 41 8 1 F 0 0 1 705 
9 61144 3 3 42 8 1 F 0 0 1 898 
9 61144 3 3 43 2 1 F 0 0 1 710 
9 61144 3 3 44 8 1 J 1 0 0 1346 
9 61144 3 3 45 5 1 F 0 0 1 719 
9 61144 3 3 46 2 1 F 0 0 1 791 
9 61144 3 3 47 8 1 F 0 0 1 725 
9 61144 3 3 48 5 1 F 0 0 1 914 
9 61144 3 3 49 8 2 F 0 1 0 724 
9 61144 3 3 50 2 2 J 1 1 1 718 
9 61144 3 3 51 5 2 F 0 1 0 1014 
9 61144 3 3 52 2 1 F 0 0 1 736 
9 61144 3 3 53 5 1 F 0 0 1 732 
9 61144 3 3 54 8 1 F 0 0 1 681 
9 61144 3 3 55 2 1 F 0 0 1 776 
9 61144 3 3 56 2 2 J 1 1 1 742 
9 61144 3 3 57 8 1 F 0 0 1 759 
9 61144 3 3 58 8 1 F 0 0 1 619 
9 61144 3 3 59 2 1 J 1 0 0 660 
9 61144 3 3 60 8 2 F 0 1 0 777 
9 61144 1 4 1 2 2 J 1 1 1 946 
9 61144 1 4 2 5 1 F 0 0 1 865 
9 61144 1 4 3 2 1 F 0 0 1 678 
9 61144 1 4 4 8 2 J 1 1 1 1120 
9 61144 1 4 5 8 1 F 0 0 1 709 
9 61144 1 4 6 8 2 F 0 1 0 1014 
9 61144 1 4 7 8 1 J 1 0 0 931 
9 61144 1 4 8 5 2 J 1 1 1 918 
9 61144 1 4 9 5 2 J 1 1 1 1109 
9 61144 1 4 10 5 2 F 0 1 0 781 
9 61144 1 4 11 5 2 J 1 1 1 1372 
9 61144 1 4 12 2 1 F 0 0 1 658 
9 61144 1 4 13 8 2 J 1 1 1 977 
9 61144 1 4 14 2 1 F 0 0 1 680 
9 61144 1 4 15 5 2 J 1 1 1 1012 
9 61144 1 4 16 5 2 F 0 1 0 1254 
9 61144 1 4 17 8 2 F 0 1 0 1969 
9 61144 1 4 18 5 2 J 1 1 1 982 
9 61144 1 4 19 8 2 J 1 1 1 874 
9 61144 1 4 20 8 1 F 0 0 1 658 
9 61144 1 4 21 2 2 J 1 1 1 792 
9 61144 1 4 22 8 2 J 1 1 1 1056 
9 61144 1 4 23 2 1 F 0 0 1 657 
9 61144 1 4 24 8 2 J 1 1 1 898 
9 61144 1 4 25 2 1 F 0 0 1 735 
9 61144 1 4 26 2 2 J 1 1 1 926 
9 61144 1 4 27 5 1 F 0 0 1 828 
9 61144 1 4 28 5 2 J 1 1 1 1090 
9 61144 1 4 29 8 1 J 1 0 0 993 
9 61144 1 4 30 8 1 F 0 0 1 995 
9 61144 1 4 31 5 2 F 0 1 0 1558 
9 61144 1 4 32 2 2 J 1 1 1 984 
9 61144 1 4 33 2 2 J 1 1 1 928 
9 61144 1 4 34 5 2 F 0 1 0 827 
9 61144 1 4 35 2 2 J 1 1 1 767 
9 61144 1 4 36 5 2 J 1 1 1 964 
9 61144 1 4 37 8 2 F 0 1 0 986 
9 61144 1 4 38 8 2 J 1 1 1 931 
9 61144 1 4 39 2 2 J 1 1 1 864 
9 61144 1 4 40 8 1 F 0 0 1 1072 
9 61144 1 4 41 2 2 J 1 1 1 968 
9 61144 1 4 42 2 2 J 1 1 1 943 
9 61144 1 4 43 2 2 F 0 1 0 790 
9 61144 1 4 44 5 1 F 0 0 1 718 
9 61144 1 4 45 2 2 J 1 1 1 864 
9 61144 1 4 46 8 2 F 0 1 0 992 
9 61144 1 4 47 8 2 F 0 1 0 896 
9 61144 1 4 48 8 2 F 0 1 0 1003 
9 61144 1 4 49 5 2 F 0 1 0 1131 
9 61144 1 4 50 2 2 J 1 1 1 743 
9 61144 1 4 51 2 1 F 0 0 1 681 
9 61144 1 4 52 5 1 F 0 0 1 764 
9 61144 1 4 53 8 2 J 1 1 1 1482 
9 61144 1 4 54 5 1 F 0 0 1 893 
9 61144 1 4 55 2 2 J 1 1 1 768 
9 61144 1 4 56 8 2 J 1 1 1 954 
9 61144 1 4 57 5 2 J 1 1 1 1095 
9 61144 1 4 58 5 2 J 1 1 1 1044 
9 61144 1 4 59 2 2 J 1 1 1 705 
