Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
9 97401 4 1 1 2 2 J 1 1 1 1161 
9 97401 4 1 2 5 1 F 0 0 1 2014 
9 97401 4 1 3 8 1 F 0 0 1 650 
9 97401 4 1 4 8 1 F 0 0 1 810 
9 97401 4 1 5 5 1 F 0 0 1 690 
9 97401 4 1 6 2 1 F 0 0 1 583 
9 97401 4 1 7 2 1 F 0 0 1 487 
9 97401 4 1 8 8 1 F 0 0 1 663 
9 97401 4 1 9 8 1 F 0 0 1 504 
9 97401 4 1 10 2 1 F 0 0 1 446 
9 97401 4 1 11 2 1 F 0 0 1 453 
9 97401 4 1 12 2 2 J 1 1 1 589 
9 97401 4 1 13 8 1 F 0 0 1 590 
9 97401 4 1 14 5 1 F 0 0 1 1292 
9 97401 4 1 15 8 2 J 1 1 1 1488 
9 97401 4 1 16 5 1 F 0 0 1 667 
9 97401 4 1 17 8 1 J 1 0 0 968 
9 97401 4 1 18 8 2 F 0 1 0 1256 
9 97401 4 1 19 2 2 J 1 1 1 878 
9 97401 4 1 20 2 1 F 0 0 1 575 
9 97401 4 1 21 8 1 J 1 0 0 1303 
9 97401 4 1 22 8 1 F 0 0 1 849 
9 97401 4 1 23 8 1 F 0 0 1 849 
9 97401 4 1 24 5 1 F 0 0 1 626 
9 97401 4 1 25 8 1 F 0 0 1 682 
9 97401 4 1 26 5 1 F 0 0 1 540 
9 97401 4 1 27 2 1 F 0 0 1 486 
9 97401 4 1 28 5 1 F 0 0 1 485 
9 97401 4 1 29 2 1 F 0 0 1 422 
9 97401 4 1 30 5 1 F 0 0 1 523 
9 97401 4 1 31 2 1 F 0 0 1 422 
9 97401 4 1 32 2 1 F 0 0 1 465 
9 97401 4 1 33 5 1 F 0 0 1 417 
9 97401 4 1 34 2 1 F 0 0 1 549 
9 97401 4 1 35 8 1 F 0 0 1 540 
9 97401 4 1 36 2 1 F 0 0 1 399 
9 97401 4 1 37 5 1 F 0 0 1 452 
9 97401 4 1 38 5 1 F 0 0 1 474 
9 97401 4 1 39 5 2 J 1 1 1 539 
9 97401 4 1 40 2 1 F 0 0 1 589 
9 97401 4 1 41 8 1 J 1 0 0 951 
9 97401 4 1 42 8 2 J 1 1 1 1904 
9 97401 4 1 43 8 1 F 0 0 1 726 
9 97401 4 1 44 8 1 F 0 0 1 753 
9 97401 4 1 45 2 1 F 0 0 1 624 
9 97401 4 1 46 5 1 F 0 0 1 506 
9 97401 4 1 47 5 1 F 0 0 1 754 
9 97401 4 1 48 2 1 F 0 0 1 567 
9 97401 4 1 49 2 1 F 0 0 1 407 
9 97401 4 1 50 8 1 F 0 0 1 647 
9 97401 4 1 51 8 1 F 0 0 1 624 
9 97401 4 1 52 5 1 F 0 0 1 515 
9 97401 4 1 53 2 1 F 0 0 1 485 
9 97401 4 1 54 5 1 F 0 0 1 468 
9 97401 4 1 55 2 1 F 0 0 1 367 
9 97401 4 1 56 5 2 J 1 1 1 562 
9 97401 4 1 57 5 1 F 0 0 1 514 
9 97401 4 1 58 5 2 J 1 1 1 789 
9 97401 4 1 59 5 1 F 0 0 1 538 
9 97401 4 1 60 8 1 J 1 0 0 1934 
9 97401 0 2 1 8 2 J 1 1 1 1085 
9 97401 0 2 2 2 2 J 1 1 1 512 
9 97401 0 2 3 8 2 J 1 1 1 424 
9 97401 0 2 4 5 2 J 1 1 1 666 
9 97401 0 2 5 5 1 F 0 0 1 556 
9 97401 0 2 6 8 2 J 1 1 1 393 
9 97401 0 2 7 5 2 J 1 1 1 754 
9 97401 0 2 8 2 1 F 0 0 1 647 
9 97401 0 2 9 2 2 J 1 1 1 1158 
9 97401 0 2 10 8 1 F 0 0 1 599 
9 97401 0 2 11 2 2 J 1 1 1 553 
9 97401 0 2 12 8 2 J 1 1 1 841 
9 97401 0 2 13 8 2 F 0 1 0 918 
9 97401 0 2 14 5 1 F 0 0 1 671 
9 97401 0 2 15 8 2 J 1 1 1 1081 
9 97401 0 2 16 2 2 J 1 1 1 790 
9 97401 0 2 17 2 2 J 1 1 1 582 
9 97401 0 2 18 2 2 J 1 1 1 696 
9 97401 0 2 19 2 2 J 1 1 1 406 
9 97401 0 2 20 8 1 F 0 0 1 615 
9 97401 0 2 21 2 2 F 0 1 0 668 
9 97401 0 2 22 2 2 J 1 1 1 623 
9 97401 0 2 23 5 2 J 1 1 1 843 
9 97401 0 2 24 5 2 J 1 1 1 668 
9 97401 0 2 25 5 2 J 1 1 1 424 
9 97401 0 2 26 2 2 J 1 1 1 593 
9 97401 0 2 27 8 2 J 1 1 1 399 
9 97401 0 2 28 5 2 J 1 1 1 450 
9 97401 0 2 29 2 2 J 1 1 1 526 
9 97401 0 2 30 5 2 J 1 1 1 421 
9 97401 0 2 31 5 2 J 1 1 1 603 
9 97401 0 2 32 5 2 J 1 1 1 482 
9 97401 0 2 33 5 2 J 1 1 1 435 
9 97401 0 2 34 8 2 J 1 1 1 344 
9 97401 0 2 35 5 2 J 1 1 1 547 
9 97401 0 2 36 2 1 F 0 0 1 509 
9 97401 0 2 37 8 2 F 0 1 0 677 
9 97401 0 2 38 2 2 J 1 1 1 599 
9 97401 0 2 39 5 1 F 0 0 1 603 
9 97401 0 2 40 2 2 J 1 1 1 797 
9 97401 0 2 41 8 2 F 0 1 0 623 
9 97401 0 2 42 8 1 F 0 0 1 919 
9 97401 0 2 43 8 2 J 1 1 1 637 
9 97401 0 2 44 8 2 F 0 1 0 551 
9 97401 0 2 45 2 2 J 1 1 1 663 
9 97401 0 2 46 8 2 F 0 1 0 656 
9 97401 0 2 47 8 2 J 1 1 1 792 
9 97401 0 2 48 5 2 F 0 1 0 701 
9 97401 0 2 49 5 2 J 1 1 1 476 
9 97401 0 2 50 5 2 F 0 1 0 878 
9 97401 0 2 51 8 2 F 0 1 0 1327 
9 97401 0 2 52 8 2 J 1 1 1 429 
9 97401 0 2 53 5 2 J 1 1 1 414 
9 97401 0 2 54 2 1 F 0 0 1 599 
9 97401 0 2 55 2 2 J 1 1 1 1117 
9 97401 0 2 56 2 2 J 1 1 1 518 
