Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
17 51601 0 1 1 8 2 J 1 1 1 1191 
17 51601 0 1 2 8 2 J 1 1 1 2072 
17 51601 0 1 3 2 2 J 1 1 1 659 
17 51601 0 1 4 2 2 J 1 1 1 580 
17 51601 0 1 5 8 1 J 1 0 0 744 
17 51601 0 1 6 2 2 J 1 1 1 442 
17 51601 0 1 7 5 1 F 0 0 1 961 
17 51601 0 1 8 5 2 F 0 1 0 900 
17 51601 0 1 9 5 2 J 1 1 1 867 
17 51601 0 1 10 8 2 J 1 1 1 693 
17 51601 0 1 11 2 2 J 1 1 1 438 
17 51601 0 1 12 8 2 J 1 1 1 547 
17 51601 0 1 13 8 2 J 1 1 1 597 
17 51601 0 1 14 8 2 J 1 1 1 600 
17 51601 0 1 15 2 2 J 1 1 1 499 
17 51601 0 1 16 2 2 J 1 1 1 445 
17 51601 0 1 17 2 2 J 1 1 1 410 
17 51601 0 1 18 2 2 J 1 1 1 432 
17 51601 0 1 19 2 2 J 1 1 1 440 
17 51601 0 1 20 8 1 F 0 0 1 647 
17 51601 0 1 21 5 2 J 1 1 1 575 
17 51601 0 1 22 2 2 J 1 1 1 428 
17 51601 0 1 23 8 2 J 1 1 1 520 
17 51601 0 1 24 2 2 J 1 1 1 460 
17 51601 0 1 25 2 2 J 1 1 1 435 
17 51601 0 1 26 8 2 J 1 1 1 482 
17 51601 0 1 27 8 2 J 1 1 1 515 
17 51601 0 1 28 8 2 J 1 1 1 428 
17 51601 0 1 29 2 2 J 1 1 1 398 
17 51601 0 1 30 5 2 J 1 1 1 471 
17 51601 0 1 31 2 1 J 1 0 0 436 
17 51601 0 1 32 2 2 J 1 1 1 442 
17 51601 0 1 33 5 2 F 0 1 0 1462 
17 51601 0 1 34 2 2 J 1 1 1 547 
17 51601 0 1 35 5 2 F 0 1 0 998 
17 51601 0 1 36 5 2 J 1 1 1 901 
17 51601 0 1 37 5 2 J 1 1 1 497 
17 51601 0 1 38 5 1 F 0 0 1 612 
17 51601 0 1 39 2 1 F 0 0 1 673 
17 51601 0 1 40 5 2 J 1 1 1 571 
17 51601 0 1 41 8 1 F 0 0 1 690 
17 51601 0 1 42 5 2 J 1 1 1 447 
17 51601 0 1 43 5 2 J 1 1 1 407 
17 51601 0 1 44 8 2 J 1 1 1 429 
17 51601 0 1 45 8 2 J 1 1 1 620 
17 51601 0 1 46 2 2 J 1 1 1 440 
17 51601 0 1 47 2 1 F 0 0 1 569 
17 51601 0 1 48 8 2 J 1 1 1 651 
