Subj Seed Prop Blk Trl SetSize Lag key keyIdx CorrResp ACC RT
16 80413 4 1 1 8 1 F 0 0 1 3543 
16 80413 4 1 2 8 1 F 0 0 1 1743 
16 80413 4 1 3 8 1 F 0 0 1 837 
16 80413 4 1 4 2 1 F 0 0 1 1830 
16 80413 4 1 5 2 1 F 0 0 1 1332 
16 80413 4 1 6 5 1 F 0 0 1 921 
16 80413 4 1 7 2 1 F 0 0 1 909 
16 80413 4 1 8 8 1 F 0 0 1 717 
16 80413 4 1 9 5 1 F 0 0 1 1997 
16 80413 4 1 10 8 1 F 0 0 1 950 
16 80413 4 1 11 5 1 F 0 0 1 897 
16 80413 4 1 12 5 1 F 0 0 1 1006 
16 80413 4 1 13 5 1 F 0 0 1 920 
16 80413 4 1 14 5 1 F 0 0 1 873 
16 80413 4 1 15 8 1 F 0 0 1 759 
16 80413 4 1 16 2 1 F 0 0 1 1382 
16 80413 4 1 17 2 2 J 1 1 1 1958 
16 80413 4 1 18 8 1 F 0 0 1 930 
16 80413 4 1 19 2 1 F 0 0 1 1257 
16 80413 4 1 20 5 2 F 0 1 0 868 
16 80413 4 1 21 8 1 F 0 0 1 740 
16 80413 4 1 22 8 1 F 0 0 1 758 
16 80413 4 1 23 8 1 F 0 0 1 712 
16 80413 4 1 24 8 1 F 0 0 1 844 
16 80413 4 1 25 5 1 F 0 0 1 708 
16 80413 4 1 26 8 2 F 0 1 0 647 
16 80413 4 1 27 8 1 F 0 0 1 735 
16 80413 4 1 28 2 1 F 0 0 1 903 
16 80413 4 1 29 5 1 F 0 0 1 955 
16 80413 4 1 30 5 1 F 0 0 1 589 
16 80413 4 1 31 2 1 F 0 0 1 1216 
16 80413 4 1 32 2 1 F 0 0 1 942 
16 80413 4 1 33 8 1 F 0 0 1 663 
16 80413 4 1 34 2 1 F 0 0 1 616 
16 80413 4 1 35 2 2 F 0 1 0 791 
16 80413 4 1 36 8 1 F 0 0 1 1179 
16 80413 4 1 37 2 1 F 0 0 1 1687 
16 80413 4 1 38 5 1 F 0 0 1 642 
16 80413 4 1 39 2 1 F 0 0 1 678 
16 80413 4 1 40 8 1 F 0 0 1 773 
16 80413 4 1 41 8 1 F 0 0 1 663 
16 80413 4 1 42 5 1 F 0 0 1 865 
16 80413 4 1 43 8 1 F 0 0 1 792 
16 80413 4 1 44 2 1 F 0 0 1 1100 
16 80413 4 1 45 5 1 F 0 0 1 874 
16 80413 4 1 46 5 2 F 0 1 0 729 
16 80413 4 1 47 2 2 J 1 1 1 1620 
16 80413 4 1 48 2 1 F 0 0 1 695 
16 80413 4 1 49 5 1 F 0 0 1 782 
16 80413 4 1 50 8 2 F 0 1 0 695 
16 80413 4 1 51 2 1 F 0 0 1 742 
16 80413 4 1 52 2 1 F 0 0 1 525 
16 80413 4 1 53 5 1 F 0 0 1 758 
16 80413 4 1 54 2 1 F 0 0 1 934 
16 80413 4 1 55 2 1 F 0 0 1 918 
16 80413 4 1 56 8 2 F 0 1 0 659 
16 80413 4 1 57 5 2 F 0 1 0 884 
16 80413 4 1 58 5 1 F 0 0 1 737 
16 80413 4 1 59 5 1 F 0 0 1 777 
16 80413 4 1 60 5 1 F 0 0 1 681 
16 80413 2 2 1 5 2 F 0 1 0 2772 
16 80413 2 2 2 2 1 F 0 0 1 847 
16 80413 2 2 3 5 2 F 0 1 0 1165 
16 80413 2 2 4 2 2 J 1 1 1 1587 
16 80413 2 2 5 8 2 F 0 1 0 1107 
16 80413 2 2 6 2 1 F 0 0 1 941 
16 80413 2 2 7 5 2 J 1 1 1 1562 
16 80413 2 2 8 5 2 J 1 1 1 1434 
16 80413 2 2 9 5 1 F 0 0 1 1041 
16 80413 2 2 10 5 1 F 0 0 1 1290 
16 80413 2 2 11 2 2 J 1 1 1 1685 
16 80413 2 2 12 8 1 J 1 0 0 1755 
16 80413 2 2 13 2 1 F 0 0 1 909 
16 80413 2 2 14 2 2 J 1 1 1 2828 
16 80413 2 2 15 5 1 J 1 0 0 2135 
16 80413 2 2 16 5 1 J 1 0 0 1577 
16 80413 2 2 17 2 1 F 0 0 1 1100 
16 80413 2 2 18 8 2 F 0 1 0 2271 
16 80413 2 2 19 5 1 F 0 0 1 975 
16 80413 2 2 20 8 2 F 0 1 0 1029 
16 80413 2 2 21 8 2 J 1 1 1 1271 
16 80413 2 2 22 8 2 F 0 1 0 1086 
16 80413 2 2 23 5 2 J 1 1 1 971 
16 80413 2 2 24 8 2 J 1 1 1 959 
16 80413 2 2 25 2 1 F 0 0 1 1110 
16 80413 2 2 26 8 1 J 1 0 0 1646 
16 80413 2 2 27 8 2 J 1 1 1 2063 
16 80413 2 2 28 2 2 J 1 1 1 1375 
16 80413 2 2 29 8 1 F 0 0 1 1588 
16 80413 2 2 30 8 2 J 1 1 1 3433 
16 80413 2 2 31 8 1 F 0 0 1 4332 
16 80413 2 2 32 5 2 F 0 1 0 2962 
16 80413 2 2 33 2 2 J 1 1 1 1076 
16 80413 2 2 34 8 1 J 1 0 0 1597 
16 80413 2 2 35 2 1 F 0 0 1 1052 
16 80413 2 2 36 5 1 J 1 0 0 2939 
16 80413 2 2 37 2 1 F 0 0 1 1011 
16 80413 2 2 38 8 1 J 1 0 0 1785 
16 80413 2 2 39 2 1 F 0 0 1 1509 
16 80413 2 2 40 2 1 F 0 0 1 1469 
16 80413 2 2 41 5 1 J 1 0 0 4174 
16 80413 2 2 42 2 2 J 1 1 1 1581 
16 80413 2 2 43 5 2 F 0 1 0 1144 
16 80413 2 2 44 2 2 J 1 1 1 1018 
16 80413 2 2 45 5 1 J 1 0 0 1171 
16 80413 2 2 46 8 1 F 0 0 1 2024 
16 80413 2 2 47 2 2 J 1 1 1 1513 
16 80413 2 2 48 2 2 J 1 1 1 2021 
16 80413 2 2 49 5 2 J 1 1 1 2127 
16 80413 2 2 50 8 1 J 1 0 0 2335 
16 80413 2 2 51 5 2 F 0 1 0 1848 
16 80413 2 2 52 5 1 F 0 0 1 1384 
16 80413 2 2 53 8 1 F 0 0 1 1206 
16 80413 2 2 54 5 2 J 1 1 1 1412 
16 80413 2 2 55 8 1 J 1 0 0 2085 
16 80413 2 2 56 2 2 J 1 1 1 2812 
16 80413 2 2 57 8 2 J 1 1 1 8323 
16 80413 2 2 58 5 1 J 1 0 0 3913 
16 80413 2 2 59 8 2 F 0 1 0 1910 
16 80413 2 2 60 2 1 F 0 0 1 1581 
16 80413 0 3 1 2 2 J 1 1 1 1016 
16 80413 0 3 2 5 2 F 0 1 0 1373 
16 80413 0 3 3 8 2 J 1 1 1 2161 
16 80413 0 3 4 5 2 J 1 1 1 1841 
16 80413 0 3 5 2 2 J 1 1 1 693 
16 80413 0 3 6 5 2 J 1 1 1 3242 
16 80413 0 3 7 5 2 J 1 1 1 1128 
16 80413 0 3 8 8 2 J 1 1 1 933 
16 80413 0 3 9 2 2 J 1 1 1 845 
16 80413 0 3 10 8 2 J 1 1 1 1191 
16 80413 0 3 11 8 1 F 0 0 1 5776 
16 80413 0 3 12 5 1 F 0 0 1 2794 
16 80413 0 3 13 2 2 J 1 1 1 1157 
16 80413 0 3 14 5 2 F 0 1 0 2795 
16 80413 0 3 15 5 2 F 0 1 0 4425 
16 80413 0 3 16 8 2 J 1 1 1 1314 
16 80413 0 3 17 5 2 J 1 1 1 961 
16 80413 0 3 18 5 2 J 1 1 1 724 
16 80413 0 3 19 8 2 F 0 1 0 1563 
16 80413 0 3 20 5 2 J 1 1 1 645 
16 80413 0 3 21 2 2 J 1 1 1 712 
16 80413 0 3 22 8 2 J 1 1 1 660 
16 80413 0 3 23 5 2 J 1 1 1 515 
16 80413 0 3 24 2 2 J 1 1 1 815 
16 80413 0 3 25 2 2 J 1 1 1 734 
16 80413 0 3 26 2 2 J 1 1 1 487 
16 80413 0 3 27 8 2 J 1 1 1 498 
16 80413 0 3 28 5 2 J 1 1 1 460 
16 80413 0 3 29 2 2 J 1 1 1 818 
16 80413 0 3 30 5 2 J 1 1 1 699 
16 80413 0 3 31 2 2 J 1 1 1 519 
16 80413 0 3 32 2 2 J 1 1 1 597 
16 80413 0 3 33 2 2 J 1 1 1 438 
16 80413 0 3 34 5 2 J 1 1 1 474 
16 80413 0 3 35 2 2 J 1 1 1 542 
16 80413 0 3 36 2 2 J 1 1 1 566 
16 80413 0 3 37 5 2 J 1 1 1 734 
16 80413 0 3 38 8 2 J 1 1 1 462 
16 80413 0 3 39 8 2 J 1 1 1 374 
16 80413 0 3 40 5 1 J 1 0 0 355 
16 80413 0 3 41 8 2 J 1 1 1 864 
16 80413 0 3 42 8 2 J 1 1 1 409 
16 80413 0 3 43 8 2 J 1 1 1 396 
16 80413 0 3 44 8 1 J 1 0 0 778 
16 80413 0 3 45 8 2 J 1 1 1 584 
16 80413 0 3 46 2 1 J 1 0 0 1661 
16 80413 0 3 47 8 2 J 1 1 1 414 
16 80413 0 3 48 5 2 J 1 1 1 386 
16 80413 0 3 49 2 1 J 1 0 0 398 
16 80413 0 3 50 2 1 J 1 0 0 439 
16 80413 0 3 51 8 2 J 1 1 1 545 
16 80413 0 3 52 5 2 J 1 1 1 378 
16 80413 0 3 53 8 1 J 1 0 0 542 
16 80413 0 3 54 2 2 J 1 1 1 1103 
16 80413 0 3 55 2 2 J 1 1 1 709 
16 80413 0 3 56 5 2 J 1 1 1 427 
16 80413 0 3 57 8 2 J 1 1 1 492 
16 80413 0 3 58 2 2 J 1 1 1 372 
16 80413 0 3 59 5 1 J 1 0 0 418 
16 80413 0 3 60 8 2 J 1 1 1 518 
16 80413 1 4 1 8 2 J 1 1 1 338 
16 80413 1 4 2 8 2 J 1 1 1 698 
16 80413 1 4 3 5 2 J 1 1 1 517 
16 80413 1 4 4 8 2 J 1 1 1 379 
16 80413 1 4 5 8 1 J 1 0 0 651 
16 80413 1 4 6 8 2 J 1 1 1 562 
16 80413 1 4 7 8 1 J 1 0 0 509 
16 80413 1 4 8 8 1 J 1 0 0 695 
16 80413 1 4 9 2 2 J 1 1 1 1021 
16 80413 1 4 10 8 2 J 1 1 1 885 
16 80413 1 4 11 5 2 J 1 1 1 621 
16 80413 1 4 12 5 2 J 1 1 1 660 
16 80413 1 4 13 5 1 J 1 0 0 1489 
16 80413 1 4 14 2 2 J 1 1 1 791 
16 80413 1 4 15 2 1 J 1 0 0 1133 
16 80413 1 4 16 2 1 F 0 0 1 1485 
16 80413 1 4 17 2 2 J 1 1 1 780 
16 80413 1 4 18 8 2 J 1 1 1 2012 
16 80413 1 4 19 8 2 J 1 1 1 827 
16 80413 1 4 20 5 2 J 1 1 1 692 
16 80413 1 4 21 2 2 J 1 1 1 1150 
16 80413 1 4 22 2 1 J 1 0 0 915 
16 80413 1 4 23 2 2 J 1 1 1 1198 
16 80413 1 4 24 2 2 J 1 1 1 3045 
16 80413 1 4 25 5 2 J 1 1 1 1239 
16 80413 1 4 26 5 1 J 1 0 0 1460 
16 80413 1 4 27 2 1 F 0 0 1 1322 
16 80413 1 4 28 5 1 F 0 0 1 2624 
16 80413 1 4 29 8 2 J 1 1 1 1225 
16 80413 1 4 30 8 2 F 0 1 0 4188 
16 80413 1 4 31 8 2 J 1 1 1 1029 
16 80413 1 4 32 2 2 J 1 1 1 1030 
16 80413 1 4 33 8 1 J 1 0 0 866 
16 80413 1 4 34 5 2 F 0 1 0 1671 
16 80413 1 4 35 5 2 J 1 1 1 749 
16 80413 1 4 36 2 1 F 0 0 1 1926 
16 80413 1 4 37 5 2 J 1 1 1 925 
16 80413 1 4 38 8 2 J 1 1 1 630 
16 80413 1 4 39 2 2 J 1 1 1 855 
16 80413 1 4 40 8 2 J 1 1 1 534 
16 80413 1 4 41 2 2 F 0 1 0 1784 
16 80413 1 4 42 2 2 J 1 1 1 894 
16 80413 1 4 43 2 2 J 1 1 1 1607 
16 80413 1 4 44 8 1 J 1 0 0 968 
16 80413 1 4 45 5 2 J 1 1 1 1103 
16 80413 1 4 46 5 1 J 1 0 0 1545 
16 80413 1 4 47 2 2 J 1 1 1 1292 
16 80413 1 4 48 5 2 J 1 1 1 832 
16 80413 1 4 49 5 1 J 1 0 0 796 
16 80413 1 4 50 5 1 F 0 0 1 1618 
16 80413 1 4 51 5 2 J 1 1 1 758 
16 80413 1 4 52 5 2 J 1 1 1 826 
16 80413 1 4 53 2 1 F 0 0 1 1949 
16 80413 1 4 54 5 2 J 1 1 1 1279 
16 80413 1 4 55 2 2 J 1 1 1 783 
16 80413 1 4 56 5 2 J 1 1 1 1058 
16 80413 1 4 57 8 2 J 1 1 1 827 
16 80413 1 4 58 8 2 J 1 1 1 2480 
16 80413 1 4 59 2 2 J 1 1 1 791 
16 80413 1 4 60 8 1 J 1 0 0 830 
16 80413 3 5 1 8 1 F 0 0 1 959 
16 80413 3 5 2 2 2 J 1 1 1 1847 
16 80413 3 5 3 5 1 F 0 0 1 2217 
16 80413 3 5 4 5 2 J 1 1 1 1201 
16 80413 3 5 5 8 1 F 0 0 1 1212 
16 80413 3 5 6 8 1 J 1 0 0 1786 
16 80413 3 5 7 5 2 F 0 1 0 1319 
16 80413 3 5 8 5 1 F 0 0 1 1355 
16 80413 3 5 9 2 1 F 0 0 1 1868 
16 80413 3 5 10 8 1 J 1 0 0 1582 
16 80413 3 5 11 2 1 F 0 0 1 797 
16 80413 3 5 12 8 2 F 0 1 0 1513 
16 80413 3 5 13 5 1 F 0 0 1 856 
16 80413 3 5 14 2 2 F 0 1 0 1093 
16 80413 3 5 15 2 1 F 0 0 1 766 
16 80413 3 5 16 5 1 F 0 0 1 614 
16 80413 3 5 17 2 2 J 1 1 1 1764 
16 80413 3 5 18 2 1 F 0 0 1 5559 
16 80413 3 5 19 5 1 F 0 0 1 8223 
16 80413 3 5 20 5 2 F 0 1 0 1093 
16 80413 3 5 21 2 1 F 0 0 1 1895 
16 80413 3 5 22 2 1 J 1 0 0 1333 
16 80413 3 5 23 2 1 F 0 0 1 1384 
16 80413 3 5 24 8 2 F 0 1 0 908 
16 80413 3 5 25 8 1 J 1 0 0 1624 
16 80413 3 5 26 2 2 J 1 1 1 1775 
16 80413 3 5 27 8 1 F 0 0 1 2405 
16 80413 3 5 28 2 1 J 1 0 0 1833 
16 80413 3 5 29 2 1 F 0 0 1 1013 
16 80413 3 5 30 2 1 F 0 0 1 1351 
16 80413 3 5 31 5 1 F 0 0 1 1282 
16 80413 3 5 32 8 1 F 0 0 1 870 
16 80413 3 5 33 5 1 F 0 0 1 706 
16 80413 3 5 34 5 1 F 0 0 1 769 
16 80413 3 5 35 5 1 F 0 0 1 2249 
16 80413 3 5 36 8 1 F 0 0 1 880 
16 80413 3 5 37 5 1 F 0 0 1 817 
16 80413 3 5 38 8 1 F 0 0 1 1001 
16 80413 3 5 39 5 1 F 0 0 1 771 
16 80413 3 5 40 5 2 F 0 1 0 562 
16 80413 3 5 41 8 1 F 0 0 1 959 
16 80413 3 5 42 2 2 F 0 1 0 845 
16 80413 3 5 43 8 1 F 0 0 1 773 
16 80413 3 5 44 5 1 F 0 0 1 628 
16 80413 3 5 45 5 1 J 1 0 0 1769 
16 80413 3 5 46 2 1 F 0 0 1 957 
16 80413 3 5 47 2 1 F 0 0 1 861 
16 80413 3 5 48 2 1 F 0 0 1 1013 
16 80413 3 5 49 8 1 F 0 0 1 744 
16 80413 3 5 50 2 2 F 0 1 0 750 
16 80413 3 5 51 8 1 F 0 0 1 727 
16 80413 3 5 52 8 2 F 0 1 0 2163 
16 80413 3 5 53 2 1 F 0 0 1 1454 
16 80413 3 5 54 8 1 F 0 0 1 765 
16 80413 3 5 55 5 2 F 0 1 0 594 
16 80413 3 5 56 8 2 F 0 1 0 671 
16 80413 3 5 57 5 2 J 1 1 1 1338 
16 80413 3 5 58 8 2 F 0 1 0 1030 
16 80413 3 5 59 5 1 F 0 0 1 859 
16 80413 3 5 60 8 2 F 0 1 0 742 
16 80413 1 6 1 5 2 J 1 1 1 732 
16 80413 1 6 2 2 2 J 1 1 1 575 
16 80413 1 6 3 5 1 F 0 0 1 1183 
16 80413 1 6 4 5 2 J 1 1 1 799 
16 80413 1 6 5 2 2 J 1 1 1 695 
16 80413 1 6 6 8 2 J 1 1 1 512 
16 80413 1 6 7 8 1 F 0 0 1 1279 
16 80413 1 6 8 5 2 F 0 1 0 1489 
16 80413 1 6 9 8 2 F 0 1 0 1397 
16 80413 1 6 10 5 1 F 0 0 1 1206 
16 80413 1 6 11 5 2 J 1 1 1 3011 
16 80413 1 6 12 8 2 F 0 1 0 5260 
16 80413 1 6 13 2 2 J 1 1 1 686 
16 80413 1 6 14 8 2 J 1 1 1 2386 
16 80413 1 6 15 5 2 J 1 1 1 3156 
16 80413 1 6 16 5 2 J 1 1 1 1552 
16 80413 1 6 17 8 2 F 0 1 0 2519 
16 80413 1 6 18 5 1 J 1 0 0 682 
16 80413 1 6 19 8 2 J 1 1 1 2720 
16 80413 1 6 20 2 1 F 0 0 1 1098 
16 80413 1 6 21 8 2 J 1 1 1 1236 
16 80413 1 6 22 8 1 J 1 0 0 697 
16 80413 1 6 23 2 1 F 0 0 1 1263 
16 80413 1 6 24 2 2 J 1 1 1 918 
16 80413 1 6 25 2 2 J 1 1 1 1030 
16 80413 1 6 26 5 2 J 1 1 1 807 
16 80413 1 6 27 2 2 J 1 1 1 1846 
16 80413 1 6 28 5 2 J 1 1 1 1562 
16 80413 1 6 29 8 2 J 1 1 1 1095 
16 80413 1 6 30 8 1 F 0 0 1 3431 
16 80413 1 6 31 8 2 J 1 1 1 1071 
16 80413 1 6 32 5 2 J 1 1 1 1016 
16 80413 1 6 33 8 1 F 0 0 1 2824 
16 80413 1 6 34 5 1 J 1 0 0 2072 
16 80413 1 6 35 2 1 F 0 0 1 1909 
16 80413 1 6 36 5 2 J 1 1 1 809 
16 80413 1 6 37 8 2 J 1 1 1 741 
16 80413 1 6 38 8 2 J 1 1 1 758 
16 80413 1 6 39 2 2 J 1 1 1 700 
16 80413 1 6 40 5 2 J 1 1 1 562 
16 80413 1 6 41 2 2 J 1 1 1 647 
16 80413 1 6 42 5 2 J 1 1 1 863 
16 80413 1 6 43 2 1 F 0 0 1 1454 
16 80413 1 6 44 8 2 F 0 1 0 1816 
16 80413 1 6 45 5 2 J 1 1 1 841 
16 80413 1 6 46 2 2 J 1 1 1 790 
16 80413 1 6 47 2 1 F 0 0 1 1550 
16 80413 1 6 48 2 1 F 0 0 1 2315 
16 80413 1 6 49 2 2 J 1 1 1 1254 
16 80413 1 6 50 8 1 F 0 0 1 2824 
16 80413 1 6 51 5 1 F 0 0 1 1610 
16 80413 1 6 52 2 2 J 1 1 1 628 
16 80413 1 6 53 8 2 J 1 1 1 718 
16 80413 1 6 54 5 2 J 1 1 1 619 
16 80413 1 6 55 2 2 J 1 1 1 683 
16 80413 1 6 56 8 1 F 0 0 1 1699 
16 80413 1 6 57 2 2 J 1 1 1 621 
16 80413 1 6 58 5 1 J 1 0 0 704 
16 80413 1 6 59 8 2 F 0 1 0 1516 
16 80413 1 6 60 2 2 J 1 1 1 1168 
16 80413 0 7 1 8 2 J 1 1 1 367 
16 80413 0 7 2 2 2 J 1 1 1 583 
16 80413 0 7 3 5 2 J 1 1 1 500 
16 80413 0 7 4 8 2 J 1 1 1 491 
16 80413 0 7 5 5 2 J 1 1 1 466 
16 80413 0 7 6 2 2 J 1 1 1 549 
16 80413 0 7 7 8 2 J 1 1 1 677 
16 80413 0 7 8 2 1 F 0 0 1 1526 
16 80413 0 7 9 2 2 J 1 1 1 662 
16 80413 0 7 10 5 2 J 1 1 1 1001 
16 80413 0 7 11 5 2 J 1 1 1 754 
16 80413 0 7 12 5 2 J 1 1 1 643 
16 80413 0 7 13 5 2 J 1 1 1 629 
16 80413 0 7 14 2 2 J 1 1 1 660 
16 80413 0 7 15 2 2 J 1 1 1 599 
16 80413 0 7 16 8 2 J 1 1 1 779 
16 80413 0 7 17 5 2 J 1 1 1 1065 
16 80413 0 7 18 2 2 F 0 1 0 1584 
16 80413 0 7 19 5 2 J 1 1 1 591 
16 80413 0 7 20 5 2 J 1 1 1 472 
16 80413 0 7 21 2 2 J 1 1 1 406 
16 80413 0 7 22 8 2 F 0 1 0 1485 
16 80413 0 7 23 5 1 J 1 0 0 442 
16 80413 0 7 24 8 2 J 1 1 1 1030 
16 80413 0 7 25 2 2 J 1 1 1 491 
16 80413 0 7 26 2 2 J 1 1 1 583 
16 80413 0 7 27 2 1 F 0 0 1 1262 
16 80413 0 7 28 2 1 F 0 0 1 1203 
16 80413 0 7 29 2 2 J 1 1 1 2044 
16 80413 0 7 30 2 2 J 1 1 1 757 
16 80413 0 7 31 2 2 J 1 1 1 950 
16 80413 0 7 32 5 2 J 1 1 1 749 
16 80413 0 7 33 2 2 J 1 1 1 469 
16 80413 0 7 34 5 2 J 1 1 1 926 
16 80413 0 7 35 8 1 J 1 0 0 780 
16 80413 0 7 36 8 1 J 1 0 0 560 
